排名,小组名称,小组成员数,刷新时间,周总讨论,人均讨论,刷新增长
01, 创造营2021官组, 189139, 2021-03-24 03:07:09, 12112, 0.064, 12112
02, 就等你上车啦！！！, 202135, 2021-03-24 03:13:45, 8225, 0.0407, 8225
03, 青春有你第三季, 193646, 2021-03-24 03:24:01, 7687, 0.0397, 7687
04, 【我是个怪物】, 3248, 2021-03-24 03:03:30, 6460, 1.9889, 6460
05, 艾主席夸夸组, 9898, 2021-03-24 03:06:01, 5347, 0.5402, 5347
06, 生活组, 695093, 2021-03-24 03:13:09, 4920, 0.0071, 4920
07, 豆瓣艾玛花园, 73598, 2021-03-24 03:14:16, 4468, 0.0607, 4468
08, 豆瓣鹅组, 694216, 2021-03-24 03:15:59, 4441, 0.0064, 4441
09, 小狗梦工厂, 9433, 2021-03-24 03:11:13, 3890, 0.4124, 3890
10, 豆瓣火研组, 244993, 2021-03-24 03:16:52, 3820, 0.0156, 3820
11, 自由吃瓜基地-更爱我自己, 260383, 2021-03-24 03:16:27, 3774, 0.0145, 3774
12, 芙蓉园栽培所, 1555, 2021-03-24 03:05:35, 3154, 2.0283, 3154
13, 青春有你第三季植树组, 15890, 2021-03-24 03:05:05, 2917, 0.1836, 2917
14, 爱猫生活, 444900, 2021-03-24 03:17:28, 2632, 0.0059, 2632
15, 雨夜收容所, 5313, 2021-03-24 03:03:01, 2598, 0.489, 2598
16, 划桨俱乐部, 786, 2021-03-24 03:03:44, 2455, 3.1234, 2455
17, 豆瓣戏精小组, 49304, 2021-03-24 03:22:43, 2177, 0.0442, 2177
18, 创造营2021横冲直闯组, 33262, 2021-03-24 03:04:07, 1826, 0.0549, 1826
19, 豆瓣吃瓜人才组, 616041, 2021-03-24 03:25:45, 1796, 0.0029, 1796
20, 豆瓣爽组, 213752, 2021-03-24 03:15:15, 1689, 0.0079, 1689
21, 十八楼友好交流基地, 37602, 2021-03-24 03:10:31, 1669, 0.0444, 1669
22, 电竞九组, 4795, 2021-03-24 03:03:55, 1641, 0.3422, 1641
23, 丁真与小马, 14898, 2021-03-24 03:25:32, 1597, 0.1072, 1597
24, 青青草原, 493848, 2021-03-24 03:25:56, 1587, 0.0032, 1587
25, 四合院, 19644, 2021-03-24 03:06:11, 1560, 0.0794, 1560
26, 青春有你第三季江湖组, 44063, 2021-03-24 03:07:47, 1515, 0.0344, 1515
27, 豆瓣韩式泡菜小组, 25984, 2021-03-24 03:12:45, 1304, 0.0502, 1304
28, 豆瓣橘组|青春有你, 260652, 2021-03-24 03:13:54, 1241, 0.0048, 1241
29, 豆瓣浑水摸娱小组, 9012, 2021-03-24 03:04:26, 1182, 0.1312, 1182
30, 豆瓣秀组, 178370, 2021-03-24 03:12:19, 1029, 0.0058, 1029
31, 豆瓣妆组丨姐妹们的化妆间, 110699, 2021-03-24 03:07:37, 983, 0.0089, 983
32, 人无烷人, 6021, 2021-03-24 03:04:39, 948, 0.1574, 948
33, 豆瓣拉踩小组, 57871, 2021-03-24 03:06:19, 938, 0.0162, 938
34, 葡萄掉皮儿小组, 41425, 2021-03-24 03:11:47, 915, 0.0221, 915
35, 豆瓣缺德俱乐部, 5274, 2021-03-24 03:26:23, 915, 0.1735, 915
36, 车组候车大厅, 82294, 2021-03-24 03:20:18, 826, 0.01, 826
37, 我总觉得自己就是一个傻逼, 1361178, 2021-03-24 03:09:39, 806, 0.0006, 806
38, 豆瓣猪组, 28902, 2021-03-24 03:08:23, 779, 0.027, 779
39, 小象八卦, 313579, 2021-03-24 03:08:47, 736, 0.0023, 736
40, 豆瓣韩式口腔小组, 21828, 2021-03-24 03:25:16, 725, 0.0332, 725
41, 豆瓣温泉镇（春风拂面版）, 17267, 2021-03-24 03:04:15, 721, 0.0418, 721
42, K记M记新品交流, 227415, 2021-03-24 03:20:44, 711, 0.0031, 711
43, 易安画画十八楼|叽叽喳喳自留地, 4852, 2021-03-24 03:11:31, 690, 0.1422, 690
44, 新建备忘录, 47, 2021-03-24 03:22:04, 683, 14.5319, 683
45, 小说打分器, 104830, 2021-03-24 03:10:02, 672, 0.0064, 672
46, 用利息生活｜投资理财, 528771, 2021-03-24 03:19:43, 671, 0.0013, 671
47, 排水管中小学幼儿园论坛, 798, 2021-03-24 03:10:51, 642, 0.8045, 642
48, 豆瓣零食拉踩小组, 196565, 2021-03-24 03:21:51, 631, 0.0032, 631
49, 机智的宿舍生活, 77568, 2021-03-24 03:22:15, 630, 0.0081, 630
50, 社会性死亡, 342875, 2021-03-24 03:09:29, 619, 0.0018, 619
51, 豆瓣韩娱, 77393, 2021-03-24 03:12:25, 609, 0.0079, 609
52, 哈哈哈哈哈哈哈哈哈哈哈, 512500, 2021-03-24 03:05:12, 607, 0.0012, 607
53, 鹅组来了, 455980, 2021-03-24 03:16:08, 596, 0.0013, 596
54, 壶生壶死, 6530, 2021-03-24 03:11:56, 570, 0.0873, 570
55, 郝胡棋牌室, 10351, 2021-03-24 03:26:31, 568, 0.0549, 568
56, 寒国人娱乐文化中心, 40105, 2021-03-24 03:12:34, 520, 0.013, 520
57, 竞踩不断, 4614, 2021-03-24 03:25:01, 495, 0.1073, 495
58, 河马精英组, 3682, 2021-03-24 03:07:17, 469, 0.1274, 469
59, 扣扣溏, 13956, 2021-03-24 03:21:02, 467, 0.0335, 467
60, 豆瓣我不懂小组, 9580, 2021-03-24 03:17:11, 450, 0.047, 450
61, 下厨房, 1252038, 2021-03-24 03:09:55, 444, 0.0004, 444
62, 攻控踩雷小组, 2996, 2021-03-24 03:04:46, 421, 0.1405, 421
63, 可爱事物分享, 426934, 2021-03-24 03:09:16, 421, 0.001, 421
64, shark废话海, 1361, 2021-03-24 03:20:30, 414, 0.3042, 414
65, 985废物引进计划, 116761, 2021-03-24 03:23:27, 414, 0.0035, 414
66, KPL烟花电子厂, 2900, 2021-03-24 03:10:13, 390, 0.1345, 390
67, 新世代音乐功夫季SUPERKUNGFU, 16364, 2021-03-24 03:18:48, 387, 0.0236, 387
68, 韩娱基地, 79806, 2021-03-24 03:08:04, 383, 0.0048, 383
69, 韩式玻璃制品收容小组, 9085, 2021-03-24 03:26:37, 363, 0.04, 363
70, 破产版雅典学院, 39439, 2021-03-24 03:10:07, 362, 0.0092, 362
71, 茶颜组看创造营2021青春有你3, 1249, 2021-03-24 03:18:28, 361, 0.289, 361
72, 日圈散游基地, 1234, 2021-03-24 03:21:38, 361, 0.2925, 361
73, 鹅们栖息地, 270795, 2021-03-24 03:17:04, 360, 0.0013, 360
74, 我爱化妆品, 1069523, 2021-03-24 03:21:44, 353, 0.0003, 353
75, 韩娱武道馆, 8261, 2021-03-24 03:20:55, 352, 0.0426, 352
76, 豆瓣高抬腿小组, 10076, 2021-03-24 03:12:01, 345, 0.0342, 345
77, 豆瓣狗组, 7497, 2021-03-24 03:07:29, 341, 0.0455, 341
78, 炸厨房组, 166531, 2021-03-24 03:26:02, 318, 0.0019, 318
79, 花路情报局, 66008, 2021-03-24 03:05:18, 311, 0.0047, 311
80, 还真TM啥图都有, 121810, 2021-03-24 03:09:09, 311, 0.0026, 311
81, 楼丝随心所欲小组, 3211, 2021-03-24 03:19:07, 286, 0.0891, 286
82, 辣炒泡菜, 12153, 2021-03-24 03:26:14, 275, 0.0226, 275
83, 豆瓣溺水小组, 2001, 2021-03-24 03:08:38, 274, 0.1369, 274
84, 娱乐净土, 19289, 2021-03-24 03:17:45, 268, 0.0139, 268
85, 土味穿搭践行者, 133673, 2021-03-24 03:09:47, 264, 0.002, 264
86, TF三代大逃杀组, 16672, 2021-03-24 03:21:10, 257, 0.0154, 257
87, 古怪问题研究中心, 237319, 2021-03-24 03:23:14, 254, 0.0011, 254
88, 豆瓣流浪瓜农, 25034, 2021-03-24 03:23:06, 252, 0.0101, 252
89, kpl研究所, 10651, 2021-03-24 03:20:08, 250, 0.0235, 250
90, 乘风破浪的姐姐第二季, 43910, 2021-03-24 03:12:09, 246, 0.0056, 246
91, 硬糖少女加工厂, 30685, 2021-03-24 03:19:00, 246, 0.008, 246
92, 豆瓣嗑组（耽改101）, 29766, 2021-03-24 03:14:49, 242, 0.0081, 242
93, 花生豆组, 40185, 2021-03-24 03:08:31, 238, 0.0059, 238
94, 旧日议事厅, 106159, 2021-03-24 03:10:44, 232, 0.0022, 232
95, 佚名实验室, 2790, 2021-03-24 03:14:57, 224, 0.0803, 224
96, 豆瓣硬糖少女自由发言组, 85107, 2021-03-24 03:11:39, 221, 0.0026, 221
97, 戏影快乐老家, 2021, 2021-03-24 03:23:20, 196, 0.097, 196
98, 欧美娱, 5470, 2021-03-24 03:11:19, 192, 0.0351, 192
99, 村通网——网络黑话指南, 141352, 2021-03-24 03:15:26, 192, 0.0014, 192
100, 说唱新世代, 97342, 2021-03-24 03:26:44, 187, 0.0019, 187
101, 豆瓣星组, 502, 2021-03-24 03:25:08, 179, 0.3566, 179
102, 豆瓣说唱瓜组, 13274, 2021-03-24 03:14:32, 177, 0.0133, 177
103, SKY天天乐, 4629, 2021-03-24 03:21:21, 170, 0.0367, 170
104, 默默学习, 132575, 2021-03-24 03:24:43, 170, 0.0013, 170
105, 硬糖实验室, 4368, 2021-03-24 03:24:08, 159, 0.0364, 159
106, 豆瓣奶茶小组, 70179, 2021-03-24 03:07:23, 149, 0.0021, 149
107, 耽美辣菜瓜田｜专注耽美戒断, 8982, 2021-03-24 03:18:01, 144, 0.016, 144
108, 鲜嫩花生俱乐部, 18152, 2021-03-24 03:22:49, 140, 0.0077, 140
109, 糊弄学, 217778, 2021-03-24 03:08:53, 138, 0.0006, 138
110, 矫情文字品鉴小组, 123313, 2021-03-24 03:16:58, 135, 0.0011, 135
111, 破罐子不摔, 4553, 2021-03-24 03:10:19, 131, 0.0288, 131
112, 丑东西保护协会, 177250, 2021-03-24 03:09:22, 130, 0.0007, 130
113, 骡马假日, 41930, 2021-03-24 03:07:53, 126, 0.003, 126
114, 非官方民政局, 6509, 2021-03-24 03:24:26, 119, 0.0183, 119
115, 十八楼乌托邦小组, 20020, 2021-03-24 03:21:32, 118, 0.0059, 118
116, 可以看看你的书桌吗, 133823, 2021-03-24 03:18:12, 112, 0.0008, 112
117, 十八楼嗨起来, 3091, 2021-03-24 03:24:14, 103, 0.0333, 103
118, 世界练舞室, 3455, 2021-03-24 03:24:37, 103, 0.0298, 103
119, 创造营2021盟外画园, 4613, 2021-03-24 03:08:15, 101, 0.0219, 101
120, 院生态备忘录, 2379, 2021-03-24 03:04:31, 96, 0.0404, 96
121, 推辞学, 152169, 2021-03-24 03:08:58, 96, 0.0006, 96
122, 豆瓣泰娱, 21160, 2021-03-24 03:19:17, 93, 0.0044, 93
123, 只讲废话, 16923, 2021-03-24 03:20:01, 88, 0.0052, 88
124, 豆瓣发财组, 17176, 2021-03-24 03:14:26, 84, 0.0049, 84
125, 时代的眼泪, 141815, 2021-03-24 03:26:07, 82, 0.0006, 82
126, 豆瓣韩式双标小组, 3843, 2021-03-24 03:08:09, 80, 0.0208, 80
127, 笑看风云, 12601, 2021-03-24 03:21:57, 80, 0.0063, 80
128, 铁头联萌, 5354, 2021-03-24 03:18:52, 73, 0.0136, 73
129, 向日葵研究中心, 6505, 2021-03-24 03:25:22, 73, 0.0112, 73
130, 自娱自乐吃瓜小组, 32077, 2021-03-24 03:11:24, 70, 0.0022, 70
131, 五代紫微星小组, 7527, 2021-03-24 03:22:08, 61, 0.0081, 61
132, 奇奇怪怪的知识增加了, 141081, 2021-03-24 03:18:06, 56, 0.0004, 56
133, 零成本售楼卖画, 325, 2021-03-24 03:24:53, 52, 0.16, 52
134, 豆瓣欧美娱, 30626, 2021-03-24 03:19:31, 49, 0.0016, 49
135, 盆友圈, 1669, 2021-03-24 03:19:54, 46, 0.0276, 46
136, 言情批评研讨会——第一男德大学, 6566, 2021-03-24 03:18:42, 44, 0.0067, 44
137, 豆瓣红组, 98711, 2021-03-24 03:22:30, 37, 0.0004, 37
138, 九年义务教育查漏补缺, 109066, 2021-03-24 03:09:03, 36, 0.0003, 36
139, THE9热奈组, 37250, 2021-03-24 03:14:21, 36, 0.001, 36
140, 可能会是大艺术家, 1123, 2021-03-24 03:10:36, 33, 0.0294, 33
141, 豆瓣韩娱裤组, 12140, 2021-03-24 03:14:41, 33, 0.0027, 33
142, 薯粉游乐园|追光吧哥哥, 15518, 2021-03-24 03:17:33, 32, 0.0021, 32
143, 明日之子根据地, 97326, 2021-03-24 03:19:21, 32, 0.0003, 32
144, 豆瓣兔区, 76902, 2021-03-24 03:20:35, 32, 0.0004, 32
145, 豆瓣养成小组, 4697, 2021-03-24 03:22:25, 31, 0.0066, 31
146, 韩娱新星I-land保安室, 7526, 2021-03-24 03:19:26, 28, 0.0037, 28
147, 春日纳凉小组, 4040, 2021-03-24 03:20:49, 28, 0.0069, 28
148, 世界递一, 380, 2021-03-24 03:24:19, 28, 0.0737, 28
149, 小猪快跑, 4613, 2021-03-24 03:24:30, 26, 0.0056, 26
150, 七彩琉璃蝴蝶帮, 2643, 2021-03-24 03:18:22, 25, 0.0095, 25
151, 流浪粉丝收容所, 5468, 2021-03-24 03:22:59, 23, 0.0042, 23
152, 韩圈, 5833, 2021-03-24 03:21:14, 22, 0.0038, 22
153, 真知棒街道办, 1234, 2021-03-24 03:17:38, 19, 0.0154, 19
154, 下楼预备役, 2789, 2021-03-24 03:18:37, 18, 0.0065, 18
155, 豆瓣首尔艺高, 4105, 2021-03-24 03:19:48, 17, 0.0041, 17
156, 大虞海棠, 1839, 2021-03-24 03:22:54, 17, 0.0092, 17
157, KPOP糊逼小组, 7879, 2021-03-24 03:21:26, 16, 0.002, 16
158, 我们都爱谐音梗, 40216, 2021-03-24 03:07:58, 13, 0.0003, 13
159, 豆瓣盒组, 5426, 2021-03-24 03:14:37, 13, 0.0024, 13
160, 名侦探学院·密逃大神版, 12101, 2021-03-24 03:20:23, 12, 0.001, 12
