id,name,grade,category,tag_name,book_num
106521,流浪方舟,0.0,卡牌,"['卡牌', '策略', '像素风', '蒸汽朋克']",1
106588,锚点降临,8.7,卡牌,"['卡牌', '锚点降临', '美少女', '动作', '养成']",6709
103772,交错核心,8.6,角色扮演,"['角色扮演', '机娘', '机甲', '剧情', '二次元', '养成']",4676
106607,星之守护,10.0,卡牌,"['卡牌', '古风角色扮演', 'Q版', '放置挂机', '策略卡牌', '养成']",12
106611,烟雨长安,0.0,养成,"['养成', '古风', '宫斗', '养成']",13
106544,上古卷轴：刀锋,10.0,角色扮演,"['角色扮演', '上古卷轴刀锋', '老滚5', '刀锋', '上古卷轴', '上古卷轴5']",136
106564,魔界军团,0.0,放置,"['放置', '卡牌', '魔幻', '魔兽', '放置']",3
106545,商海风云,9.0,模拟经营,"['模拟经营', '策略', '3D', '自由', '建造', '城市']",51
106563,了凡录,9.3,角色扮演,"['角色扮演', '回合', '国风', '角色扮演', '仙侠', 'mmorpg']",204
106580,蛋仔派对,3.1,休闲,"['休闲', '治愈', '潮玩', '派对', '休闲', '竞技']",4095
106560,盛唐烟雨,8.7,角色扮演,"['角色扮演', '古风', '剧情', '捏脸', '恋爱', '换装']",208
106469,花札物语,10.0,策略,"['策略', '策略', '卡牌', '和风', '二次元', '花札']",229
106529,坦克纪元,2.0,策略,"['策略', '策略', '手游', '红警', '战争', '坦克']",15
106514,古神遗踪,7.0,回合战略,"['回合战略', '风格独特的Roguelike回合制游戏', '暗黑国风']",28
106548,誓灵,9.0,卡牌,"['卡牌', 'roundlike']",55
106525,魔力宝贝归来,2.0,角色扮演,"['角色扮演', '角色扮演', '怀旧', '放置', '回合制']",85
106534,代号：ATLAS,5.6,多人对战,"['多人对战', '开放世界', '海洋', '射击', '探索', '冒险']",11933
106543,军师请布阵,8.0,卡牌,"['卡牌', '世界冠军', '10vs10', '回合制', '三国自走棋']",27
106547,神将三国,8.0,策略,"['策略', '策略', '卡牌', '即时战斗', '三国', '战争']",85
106467,梦幻仙语,10.0,回合战略,"['回合战略', '挂机', '抓鬼', '封神', '回合制', '仙兽']",34
106204,宝贝原生,4.8,卡牌,"['卡牌', '宠物养成']",114
106518,神陵武装,7.3,格斗,"['格斗', '地下城', 'act', '横版格斗', 'dnf', '动作']",94
106533,芒果小镇,6.0,模拟经营,"['模拟经营', '模拟', '养成']",41
106482,盛世芳华,8.0,养成,"['养成', '唐风', '宫廷', '换装', '养成']",185
106519,邂逅在迷宫,8.8,角色扮演,"['角色扮演', '挂机', '福利', '二次元', '放置']",234
106523,魔卡之耀,9.3,卡牌,"['卡牌', '策略', '类Rogue', '美少女', '回合制']",66221
106515,乌龙院之活宝传奇,0.0,策略,"['策略', '乌龙院漫画', '鬼畜', '无厘头', '表情包', '乌龙院']",12
106511,足坛教父,5.0,体育竞技,"['体育竞技', '体育竞技', '卡牌', '模拟经营', '足球经理']",10
106512,九天剑仙,6.7,卡牌,"['卡牌', '卡牌', '九天剑仙']",26
106474,猫猫咖啡屋,8.0,模拟经营,"['模拟经营', '猫咪', '宠物', '猫咖', '养猫', '猫猫']",202
106476,自走棋MOBA,3.4,多人对战,"['多人对战', '电子竞技', 'MOBA', '免费', '自走棋', '公平']",5322
106486,来古弥新,9.9,其它,"['其它', '剧情', '国宝', '文物拟人', '传统文化']",18038
106478,弹雨,10.0,类Rogue,"['类Rogue', '弹幕射击', '赛博朋克', '角色扮演']",314
106487,森林狩猎,0.0,放置,"['放置', '策略', '卡牌', '放置', '养成']",47
106492,异常,7.6,策略,"['策略', '策略', '烧脑', '编程', '益智', '单机']",215
104096,古荒遗迹,7.2,角色扮演,"['角色扮演', 'ARPG', 'roguelike', '暗黑', '地牢', '冒险']",26692
106471,古镜记,10.0,文字,"['文字', '古风', '文字解谜', '国风', '胖布丁游戏']",585
106411,超级冒险王,8.7,MMORPG,"['MMORPG', '角色扮演']",270
106484,远方,9.6,休闲,"['休闲', '治愈', '休闲', '飞行', '音乐']",296
106450,咪莫,10.0,解谜,"['解谜', '手游', '独立', '解谜游戏', '益智', '单机']",193
106470,苍雾残响,9.6,策略,"['策略', '机娘', '巨大娘', '科幻', '棋盘战略', '二次元']",2799
106304,天剑奇缘,0.0,角色扮演,"['角色扮演', '二次元', '国风']",16
106440,净化,8.0,角色扮演,"['角色扮演', '猫娘', '娘化', '守护', '超可爱']",1501
106395,代号：花,9.7,角色扮演,"['角色扮演', '古风', '剧情']",6203
106320,召唤与合成2,9.9,休闲,"['休闲', '消除', '卡牌', '放置挂机', '二次元', '多人对战']",22920
106463,攻城三国志,4.0,策略,"['策略', '策略', '挂机', '攻城掠地', '三国志', '三国']",19
106455,来呀世界,0.0,益智,"['益智', 'DIY\\', '沙盒游戏', '高自由度']",39
106445,怪物工程师,6.0,养成,"['养成', '组队', 'build', '自由', '捏怪', '探索']",317
106353,零之战线,8.4,放置,"['放置', '卡牌', '战姬', '二次元', '回合制', '放置']",339
106421,御龙城堡,7.0,模拟经营,"['模拟经营', '卡牌', '建设', '角色扮演', '美女', '养成']",252
106438,咪呜记账簿,10.0,休闲,"['休闲', '萌宠', '记账', '可爱', '养猫', '猫']",794
106248,万仙萌,2.0,角色扮演,"['角色扮演', '放置挂机', '卡牌策略', '二次元', '角色扮演', '养成']",44
106367,遇见尊上,6.7,养成,"['养成', '恋爱换装', '换装收集', '恋爱手游', '仙侠', '女性手游']",880
106387,失落纹章,8.8,策略,"['策略', '策略', '战旗', 'CCG', '手机游戏', '二次元']",23379
106390,斗罗大陆：武魂觉醒,5.0,卡牌,"['卡牌', '卡牌', '轻松', '斗罗大陆', '休闲', '放置']",23176
106396,迷雾公式,8.4,策略,"['策略', '角色扮演', '策略战旗', 'SRPG', '二次元手游']",44757
106278,幻象回忆,8.2,角色扮演,"['角色扮演', '卡牌', '幻象回忆', '声优', '遗忘之境', '二次元']",15855
106365,加德尔契约,7.2,卡牌,"['卡牌', '卡牌游戏', '迷雾森林', '15V15']",23058
106236,魔神英雄传,8.8,卡牌,"['卡牌', '策略', '卡牌', '机甲', '回合制', '冒险']",1303
106362,太初行,8.7,卡牌,"['卡牌', '神话', '卡牌', '东方', '放置', '冒险']",22884
106245,银翼战机,8.0,射击,"['射击', '街机', 'Roguelike']",83
106131,天际征服,10.0,策略,"['策略', '策略', '卡牌', '卡牌对战', 'CCG', '万智牌']",68
106318,镇魂街：天生为王,9.2,动作,"['动作', '高画质', '漫改', 'ARPG', '热血', '动作']",127541
106350,幻境公主,10.0,放置,"['放置', '策略', '卡牌', '挂机', '二次元', '放置']",23127
106327,修仙在云端,7.3,角色扮演,"['角色扮演', '文字修仙', '策略搭配', '修真小说']",22765
106321,莽荒纪-纪宁传奇,0.0,卡牌,"['卡牌', '卡牌', '小说改编', '莽荒纪', '修仙', '动漫同名']",22703
106338,封神传奇,0.0,文字,"['文字', '角色扮演', '放置', '挂机', '修仙', '渡劫']",22733
106267,黑猫奇闻社,9.2,角色扮演,"['角色扮演', '推理', 'ACG', '解谜', '二次元', '奇幻']",35634
106275,呆萌骑士,0.0,策略,"['策略', '挂机', '骑士', '炉石传说', '放置', '呆萌']",23
106233,提灯与地下城,8.4,类Rogue,"['类Rogue', '地下城', '契约兽', '地牢', '角色扮演']",33653
106299,魂之刃2,7.3,角色扮演,"['角色扮演', '高画质', '少女', '角色扮演', '独立游戏', '硬核动作']",12145
106231,沧月战纪,5.6,卡牌,"['卡牌', '卡牌', '穿越', '塔防', '二次元', '放置']",473
105669,封神奇缘,10.0,放置,"['放置', '卡牌', '放置', '手游', '国风', '封神']",126
106243,伊甸领域,7.8,休闲,"['休闲', '音乐', '休闲', '敏捷']",783
106235,乌鸦森林,0.0,放置,"['放置', '卡牌', '回合', '放置', '丧尸', '末日']",50
105243,月神的迷宫,7.4,卡牌,"['卡牌', '二次元', '角色扮演', '卡牌']",49832
105934,不休的音符,6.5,音乐节奏,"['音乐节奏', '音乐', '休闲', '节奏']",1125
106210,无悔入华夏,9.1,策略,"['策略', '模拟', '历史', '多朝代', '随机事件', '独立游戏']",19086
106037,修仙世界,7.5,角色扮演,"['角色扮演', '仙侠类风']",137
106191,天命起源,6.2,放置,"['放置', '卡牌', '回合', '放置', '抽卡', '挂机']",309
105129,半盏复古行,9.6,模拟经营,"['模拟经营', '古董修复', '国漫风', '剧情', '合成消除', '休闲养成']",30120
106186,合金突击之孤胆枪侠,8.9,回合战略,"['回合战略', '卡牌', '射击', '冒险', '回合', 'Q版']",152
106182,妄想嘉年华,4.4,音乐节奏,"['音乐节奏', '音乐', '二次元', '音游', '赛博朋克', '说唱']",32959
106178,晴明传,4.4,卡牌,"['卡牌', '二次元', '卡牌', '日式', '和风', '晴明']",23720
106183,卓越世界,2.8,角色扮演,"['角色扮演', '社交', '仙侠']",41
106155,萌战三国志,7.4,卡牌,"['卡牌', '策略', '卡牌', '魔王降临', '轻国漫', '三国']",24290
106180,少前：云图计划,9.5,策略,"['策略', '策略', '养成', 'Roguelike', '少前', '云图计划']",160775
106152,战火使命,7.9,策略,"['策略', '羁绊', '守护', '二次元', '废土', '集结']",44985
106134,花开易梦阁,8.6,角色扮演,"['角色扮演', '恋爱', '换装', '手绘', 'AVG', '民国']",12163
106136,绝世战魂：前传,6.0,角色扮演,"['角色扮演', '角色扮演', 'MMO', '开放世界', '小说IP', '同名手游']",157
106088,仓鼠物语-甜蜜烘培屋,10.0,模拟经营,"['模拟经营', '模拟', '经营', '仓鼠']",23417
106110,卡拉比丘,9.4,射击,"['射击', '二次元', '多人竞技', '战术']",140282
106109,胡莱三国3,2.0,策略,"['策略', '策略', '三国', '国战', '胡来三国']",11601
106103,东方归言录,8.1,卡牌,"['卡牌', '二次元', '角色扮演', '美少女', '回合制', '东方Project']",144638
106004,猫咪公寓,9.2,养成,"['养成', '铲屎官', '撸猫', '猫咪', '动物餐厅', '云吸猫']",27609
106057,噩梦岛,4.7,放置,"['放置', '魔幻', '回合', '挂机']",23078
106072,命运边际,8.9,卡牌,"['卡牌', '卡牌', '萌', 'CV', '枪娘', '猛男必玩']",23337
106059,少前2：追放,9.7,回合战略,"['回合战略', '追放', '策略', '卡牌', '少前', '战棋']",206085
105972,全民武馆,2.0,卡牌,"['卡牌', '卡牌', '回合', '武侠', '江湖', '武林']",74
105744,新凡人修仙传,6.2,角色扮演,"['角色扮演', '修仙', '忘语', '凡人修仙传', '风起天南', '韩立']",681
106032,黎明之海,7.1,MMORPG,"['MMORPG', '冒险', '开放世界', '航海', '高自由度']",44767
106029,黎明航线,2.3,角色扮演,"['角色扮演', '二次元', '卡牌', '冒险', '航海', 'slg']",23288
106007,伊甸园的骄傲,8.5,角色扮演,"['角色扮演', '兽娘养成', '异世界幻想', '二次元', '角色扮演', '美少女']",195911
106009,全明星激斗,7.0,卡牌,"['卡牌', '策略', '卡牌', '格斗', '拳皇', 'SNK正版']",24400
105965,我的仙门,8.5,模拟经营,"['模拟经营', '蜀山', '剑仙', '模拟经营', '经营', '仙侠']",24974
105829,代号：B.E.E,5.0,角色扮演,"['角色扮演', '二次元', '动作', '科幻', '动漫改编']",39164
105691,挂机吧兄弟,5.0,卡牌,"['卡牌', '回合制', '三国', '挂机', 'Q版', '放置卡牌']",45
105969,踏马江湖,10.0,角色扮演,"['角色扮演', '水墨', '武侠', 'AVG', '红颜', '自定义命运']",23925
105931,熔芯聚变,8.7,回合战略,"['回合战略', '硬核', '赛博朋克', '后启示录', '射击', '战棋']",92754
105871,完美世界经典版,5.5,MMORPG,"['MMORPG', '冒险', '飞行', 'MMORPG', '完美世界', '完美世界经典版']",23177
105941,异次元主公,9.8,卡牌,"['卡牌', '卡牌', '异次元主公', '战姬', '即时战斗', '二次元']",23964
105809,逆火苍穹,10.0,角色扮演,"['角色扮演', '高自由度', 'MMORPG', '情缘']",22787
105939,末日雄师,7.2,卡牌,"['卡牌', '放置挂机', '策略卡牌', '僵尸', '角色扮演']",23760
105910,末世觉醒之入侵,7.3,MMORPG,"['MMORPG', '角色扮演', '人工智能', '废土', '末世']",23200
105944,剑侠世界3,8.9,角色扮演,"['角色扮演', '高画质', '武侠', '国风', '群战', 'MMORPG']",23840
105916,代号：23,8.8,策略,"['策略', '卡牌', '二次元', '即时战略', '攻防', '养成']",84482
105881,梦境重塑,9.7,角色扮演,"['角色扮演', '策略', '二次元', '剧情', '美少女']",60906
105685,全民疯乐战,10.0,策略,"['策略', '塔防', '休闲', '星际', '经营策略', 'TD']",124
105830,航海王热血航线,9.0,角色扮演,"['角色扮演', '3D', 'ACG', '航海王', '动漫', '动作']",61058
105848,超次元女神,8.0,卡牌,"['卡牌', '策略', '挂机', '美少女', '回合制', '放置']",23934
105551,王者降临,6.8,养成,"['养成', '二次元', '知名声优', '角色养成', '海量剧情']",26377
105768,风月幻想,4.0,角色扮演,"['角色扮演', '策略', '卡牌养成', '唐风']",104
105728,轻舞罗裳,8.0,养成,"['养成', '剧情', '收集', '男神', '免费小说', '换装养成']",406
105863,拔剑称王,5.0,策略,"['策略', '圆桌骑士', '战争策略', '亚瑟王传奇', '小局制SLG', '欧卡风']",96
105824,寻将online,2.2,MMORPG,"['MMORPG', '魔幻', '暗黑', 'PK', '副本']",295
104931,刀剑神域黑衣剑士：王牌,7.3,MMORPG,"['MMORPG', '二次元', '动漫', '动作', '3D', '冒险', '日系']",1825075
104846,终末阵线：伊诺贝塔,9.0,射击,"['射击', '二次元', '养成', '3D', '机甲', '弹幕射击']",375918
105693,全战天下,8.0,策略,"['策略', '策略', 'SLG']",219
105745,学园偶像季：群星闪耀,9.7,音乐节奏,"['音乐节奏', 'lovelive', '节奏动作RPG']",96264
105806,次元封神录,7.3,跑酷,"['跑酷', '跑酷', '横版', '西游', '封神', 'Q版']",22985
105778,商店英雄(Shop Heroes): 贸易大战,7.5,模拟经营,"['模拟经营', '手机游戏', '游戏', '手游', '模拟经营', '模拟经营手游']",162
105805,巨像文明,8.7,策略,"['策略', 'SLG', '多人', '经营', '建造', '战争策略']",22920
105764,猫灵相册,8.8,养成,"['养成', '二次元', '恋爱', '猫灵', '喵舞']",59040
105752,繁荣美食市场物语,10.0,模拟经营,"['模拟经营', '剧情', '美食', '治愈', '怀旧', '模拟经营']",862
105668,突袭：暗影传说,6.8,角色扮演,"['角色扮演', '策略', '卡牌', '收集', '回合', '西方魔幻']",23107
105727,造物梦工厂,10.0,模拟经营,"['模拟经营', '玩偶', 'DIY', '经营', '放置', '独立游戏']",2196
105722,拂晓,5.0,策略,"['策略', '舰娘', '美少女', '拂晓', '养成', '即时海战']",70326
104821,圣斗士星矢：正义传说,7.8,卡牌,"['卡牌', '正版授权', '圣斗士星矢']",22225
105791,三国奇兵,2.0,策略,"['策略', '策略', '收集养成', '三国']",90
105757,拾遗,8.7,策略,"['策略', '预约', '拾遗', '历史', '手机游戏', '文明']",82830
105714,幻想飞仙,8.0,角色扮演,"['角色扮演', '卡牌']",45
105167,极限竞速：街头传奇,10.0,竞速,"['竞速', '真实赛车']",22329
104596,宝石幻想：光芒重现,8.9,角色扮演,"['角色扮演', '魔女', '魔法', '偶像', '冒险', '3D', 'RPG', '剧情', '养成', '魔法偶像']",414801
104561,机动战姬：聚变,7.6,卡牌,"['卡牌', '二次元', '养成', '少女', '回合制', '机甲', '机娘', '机动战姬']",634346
104993,拾光梦行,8.4,角色扮演,"['角色扮演', '养成', '剧情', 'RPG', '3D', '冒险', '电影式', '都市奇幻']",287809
102769,灵笼：火种,8.8,角色扮演,"['角色扮演', '战斗', '灵笼', '国漫', '动画', '机甲', '3D', 'RPG', '动漫', '二次元', '国创']",994311
104921,悠久之树,9.0,角色扮演,"['角色扮演', '二次元', '养成', '剧情', '美少女', '悠久之树']",254118
104385,工匠与旅人,9.1,模拟经营,"['模拟经营', '策略', '养成', '休闲', '中世纪', '模拟经营', '种田']",207143
105501,空匣人型,8.0,动作,"['动作', '二次元', '养成', '即时战斗', 'ARPG', '美少女', '科幻']",262110
105765,叫我大掌柜,9.1,模拟经营,"['模拟经营', '模拟', '休闲', '经营', '放置', '古风']",12239
105286,王牌竞速,7.8,竞速,"['竞速', '漂移', '赛车', '休闲', '竞速', '飙车']",56013
105672,风之大冒险,5.6,角色扮演,"['角色扮演', '卡牌', 'RPG', '放置挂机', '二次元', '养成']",25433
105611,月夜狂想曲,5.0,动作,"['动作', '恶魔城', '月夜狂想曲']",30759
105468,星之彼端,9.0,类Rogue,"['类Rogue', '剧情', 'ARPG', 'roguelike', '二次元', '角色扮演']",633004
105670,猫之宿约者,9.3,文字,"['文字', 'AVG', '乙女', '剧情', '恋爱', '文字']",93765
105697,雷霆远征,3.3,策略,"['策略', '策略', '战锤', '星际', '战锤40K', '战锤40000']",58222
102557,超次元大冒险,9.0,类Rogue,"['类Rogue', 'Roguelike', '勇者', '魔王', '开放式', '超次元大冒险']",24206
105605,青空之刃,6.7,动作,"['动作', '二次元', '养成', '美少女', '机娘', '3D空战']",369872
105636,青箱,9.9,文字,"['文字', 'AVG', '青箱']",51849
105665,乱失落之岛,8.0,多人对战,"['多人对战', '角色扮演', '竞技', '沙盒', '生存', 'Steam移植']",59112
105470,永进,5.6,解谜,"['解谜', '冒险', '益智', '解密', '视觉系']",44669
105623,名将萌萌消,2.7,策略,"['策略', '卡牌', '放置', '三国', '挂机']",27219
105429,斗魂龙骑,7.5,角色扮演,"['角色扮演', '战斗', 'RPG', '冒险', '角色', '佣兵']",27503
105637,重返现场,8.0,解谜,"['解谜', '解谜', '独立游戏', '单机游戏', '悬疑推理', '法医']",34501
105606,战神遗迹,5.3,角色扮演,"['角色扮演', 'ARPG', '魔幻', '超进化', '风格战斗', '多元宇宙']",18850
105577,逍遥浪人,7.7,角色扮演,"['角色扮演', '角色扮演', '仙侠', '3DMMO', '绝世情缘', '自由空战']",31413
105557,如梦下弦月,8.6,养成,"['养成', '女性向', '剧情', '卡牌']",33210
105556,独奏骑士,6.0,角色扮演,"['角色扮演', 'ARPG', '放置', '刷刷刷', 'BUILD', '油画风']",4572
105499,天降神姬：再临,6.2,角色扮演,"['角色扮演', '养成', '角色扮演', '卡牌', 'ARPG']",4639
105058,时空猎人3,6.4,动作,"['动作', '横版格斗', '爽快刷图']",57009
105507,修普诺斯,7.4,卡牌,"['卡牌', '策略', '卡牌', '解谜', '赛博朋克']",40282
105534,女皇殿下-恋爱养成日记,8.0,养成,"['养成', '养成', '单机', '女皇']",21073
105506,以仙之名,9.5,放置,"['放置', '放置', '文字', '古风', '国风', '修仙']",175482
105412,最终幻想：勇气启示录 幻影战争,8.4,卡牌,"['卡牌', '高画质', '催泪剧情', '最终幻想']",86354
105503,逃脱者：困境突围(内购版）,7.0,策略,"['策略', '策略', '多人', '像素', '联机', 'steam移植']",21280
105512,CITY,5.0,角色扮演,"['角色扮演', '生存', '多人联机', '合作']",35893
105443,星际行动,10.0,休闲,"['休闲', '动作', '角色扮演', '射击', '冒险', '竞速']",20813
105444,摸金校尉之九幽将军,0.0,角色扮演,"['角色扮演', '冒险', '沙盒', '生存', '盗墓', '探险']",21013
105350,灵界仙都,5.3,放置,"['放置', '仙侠', '放置挂机', '修真']",33638
105369,乌合之众：正义集结,2.0,卡牌,"['卡牌', '求生', '英雄', '联盟', '队友', '正义']",33494
105368,小小勇者,8.8,放置,"['放置', '挂机', '竖屏', '类Rogue', '像素', '休闲']",324064
105453,我也是大侠,8.5,放置,"['放置', '模拟', '放置']",35142
105401,歌手,2.2,模拟经营,"['模拟经营', '偶像养成', '正版授权', '歌手', '当打之年']",21991
105435,一起来飞车2,9.1,竞速,"['竞速', '社交', '开放世界', '赛博朋克', '自由探索', '漂移']",35453
105409,幻塔,8.7,角色扮演,"['角色扮演', '开放世界', 'Arpg', '二次元', '冒险', '动作']",189214
105437,银河境界线,8.9,策略,"['策略', '策略', '科幻', '太空歌剧', '二次元', '战棋']",102702
104800,精灵魔塔,9.0,类Rogue,"['类Rogue', '策略', '养成', '收集', '放置', 'Roguelike']",34438
104744,复苏的魔女,8.9,卡牌,"['卡牌', '卡牌', '剧情', '角色扮演', '像素', '养成']",104296
104801,白之物语,9.4,MMORPG,"['MMORPG', '日式', 'MMORPG', '异世界', '多人角色扮演']",52662
104797,军团,8.0,类Rogue,"['类Rogue', '策略', '原创', '独立游戏', 'Steam移植', 'Rogue-lite']",46624
105427,字走三国,9.4,策略,"['策略', '策略', '三国', '对战', '水墨风', '自走棋']",20912
105349,幻兽契约,6.2,角色扮演,"['角色扮演', '剧情', '日系', '回合制', '战术']",34869
105375,怪兽纪元,3.4,角色扮演,"['角色扮演', '策略', '卡牌', '剪影', '怪兽', '大富翁']",21184
105322,我叫MT2:怀旧版,10.0,角色扮演,"['角色扮演', '卡牌', '游戏', '手游', '网游']",33754
105399,斗罗大陆2绝世唐门,8.6,MMORPG,"['MMORPG', '动漫改编', '唐三', '国漫', '斗罗大陆']",31001
